Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value,52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","17,890.55","17,945.60","17,688.50","17,764.80","-133.85","-0.75","2,784.26","22,625.18","18,604.45","12,730.25","37.30","-3.55"
"SBIN","499.10","506.20","492.30","503.35","5.20","1.04","224.71","1,125.17","542.30","231.00","99.74","3.10"
"IOC","128.45","130.25","127.60","129.20","0.75","0.58","72.61","93.73","141.50","83.40","51.55","-3.44"
"HDFCBANK","1,526.05","1,543.50","1,525.25","1,538.50","7.70","0.50","45.76","703.22","1,725.00","1,342.00","9.21","-8.89"
"POWERGRID","191.85","194.45","191.05","192.00","0.95","0.50","80.57","155.22","209.95","133.80","3.56","-3.35"
"RELIANCE","2,460.00","2,489.00","2,450.05","2,473.00","9.00","0.37","39.25","968.64","2,751.35","1,830.00","24.45","-9.48"
"HINDUNILVR","2,390.00","2,406.35","2,370.00","2,397.00","5.85","0.24","12.37","295.33","2,859.30","2,095.00","12.42","-5.88"
"DIVISLAB","4,723.75","4,809.30","4,671.80","4,770.00","6.15","0.13","6.32","299.07","5,425.10","3,153.30","38.19","-8.13"
"ICICIBANK","764.90","767.50","756.40","761.20","-0.10","-0.01","206.44","1,573.64","867.00","465.80","52.96","1.84"
"SUNPHARMA","790.00","794.35","780.10","788.50","-2.85","-0.36","31.78","249.89","851.00","496.00","53.70","-4.70"
"NESTLEIND","19,400.00","19,488.80","19,280.05","19,388.15","-88.90","-0.46","0.42","80.75","20,609.15","16,002.10","14.91","0.10"
"ASIANPAINT","3,249.85","3,260.00","3,214.00","3,215.20","-15.05","-0.47","16.10","521.92","3,505.00","2,117.15","46.43","0.99"
"HDFC","2,936.10","2,964.05","2,916.75","2,931.20","-17.20","-0.58","34.82","1,022.38","3,021.10","2,179.30","23.95","3.84"
"SBILIFE","1,190.00","1,205.00","1,178.50","1,180.05","-7.15","-0.60","15.27","181.66","1,273.90","825.20","37.54","-1.12"
"INFY","1,781.60","1,789.45","1,759.00","1,774.00","-13.45","-0.75","43.27","767.57","1,848.00","1,091.00","59.74","-2.64"
"ITC","240.00","243.00","236.30","237.65","-1.85","-0.77","202.26","484.07","265.30","182.70","29.12","-3.37"
"BHARTIARTL","720.60","723.45","708.00","714.25","-5.80","-0.81","44.70","319.82","746.00","454.11","49.30","4.87"
"AXISBANK","715.00","716.00","701.90","705.85","-6.50","-0.91","134.58","951.23","866.90","568.40","10.93","-11.95"
"TITAN","2,492.00","2,520.00","2,456.50","2,473.90","-25.45","-1.02","7.40","183.79","2,677.90","1,267.00","93.26","-0.44"
"TATACONSUM","837.20","843.00","822.30","827.55","-8.85","-1.06","11.32","93.95","889.00","505.05","60.10","-1.87"
"BAJAJ-AUTO","3,590.50","3,594.90","3,525.00","3,544.05","-39.75","-1.11","3.84","136.36","4,361.40","2,996.45","16.66","-9.40"
"NTPC","136.60","137.60","134.75","134.90","-1.55","-1.14","99.43","135.26","152.10","88.00","52.77","-9.86"
"HDFCLIFE","711.05","715.00","702.30","702.85","-8.20","-1.15","17.09","120.78","775.65","617.40","5.72","0.01"
"ULTRACEMCO","7,899.00","7,930.00","7,715.05","7,760.00","-97.70","-1.24","1.97","153.26","8,269.00","4,761.00","57.48","8.23"
"BRITANNIA","3,644.80","3,644.80","3,555.00","3,570.00","-45.05","-1.25","2.49","89.23","4,153.00","3,317.30","1.99","-5.95"
"GRASIM","1,783.20","1,811.95","1,763.35","1,770.00","-22.65","-1.26","4.75","84.62","1,893.00","832.00","108.49","3.03"
"KOTAKBANK","2,050.00","2,062.45","2,008.90","2,025.00","-28.10","-1.37","27.93","567.41","2,253.00","1,626.00","10.62","-0.51"
"TCS","3,515.15","3,520.85","3,451.60","3,471.95","-49.95","-1.42","21.37","743.21","3,989.90","2,607.05","32.18","-4.46"
"CIPLA","905.30","907.00","891.00","892.40","-12.95","-1.43","10.09","90.44","1,005.00","726.50","20.12","-1.52"
"HINDALCO","448.10","454.00","436.30","439.05","-6.35","-1.43","96.88","430.60","551.85","210.10","100.16","-17.74"
"ADANIPORTS","739.45","741.30","716.15","724.20","-11.35","-1.54","22.03","159.99","901.00","366.25","85.17","-8.59"
"JSWSTEEL","663.00","666.90","643.00","651.40","-10.95","-1.65","40.10","262.35","776.50","329.15","90.13","-5.81"
"BAJAJFINSV","18,256.00","18,472.00","17,811.20","17,925.00","-330.40","-1.81","2.75","497.38","19,325.00","7,251.00","130.10","-6.04"
"WIPRO","663.40","665.95","645.25","649.50","-12.30","-1.86","39.21","256.20","739.85","341.60","88.10","-8.72"
"ONGC","157.00","157.00","153.70","154.45","-2.95","-1.87","183.52","284.03","172.75","70.70","114.66","-2.62"
"BAJFINANCE","7,620.00","7,697.70","7,440.00","7,465.00","-142.65","-1.88","7.73","583.24","8,050.00","4,345.00","60.41","-3.54"
"COALINDIA","156.05","157.75","153.00","153.10","-3.00","-1.92","129.81","201.12","203.80","119.75","19.38","-17.02"
"BPCL","413.50","415.65","405.00","405.70","-8.10","-1.96","49.95","204.18","503.00","357.00","5.91","-10.45"
"UPL","755.60","761.90","740.00","740.75","-14.85","-1.97","21.21","158.41","864.70","406.55","73.76","0.96"
"MARUTI","8,234.00","8,368.00","8,001.10","8,099.75","-175.00","-2.11","13.37","1,094.22","8,368.00","6,400.00","14.82","5.80"
"SHREECEM","27,692.00","28,024.75","26,935.05","27,100.00","-591.05","-2.13","0.41","111.33","32,048.00","22,531.00","12.59","-2.15"
"DRREDDY","4,759.80","4,767.70","4,651.10","4,659.95","-108.35","-2.27","2.34","109.51","5,614.60","4,135.00","-0.93","-2.95"
"HEROMOTOCO","2,760.00","2,763.00","2,667.15","2,683.05","-66.30","-2.41","5.60","150.58","3,629.05","2,636.00","-10.06","-6.71"
"INDUSINDBK","1,031.80","1,042.00","1,002.30","1,007.50","-26.50","-2.56","32.44","329.46","1,242.00","772.25","21.63","-15.62"
"TATASTEEL","1,223.60","1,228.30","1,182.00","1,187.90","-32.15","-2.64","101.08","1,211.00","1,534.50","501.70","129.68","-13.10"
"EICHERMOT","2,675.00","2,698.65","2,575.00","2,597.95","-76.25","-2.85","8.23","215.36","3,037.00","2,303.70","-0.62","-3.91"
"LT","1,952.90","1,954.00","1,893.00","1,896.00","-56.90","-2.91","18.84","359.95","1,981.75","1,061.05","65.14","2.71"
"HCLTECH","1,148.00","1,155.00","1,113.50","1,118.00","-34.45","-2.99","53.85","605.64","1,377.75","800.25","37.30","-9.26"
"TECHM","1,620.20","1,624.75","1,559.50","1,564.90","-53.55","-3.31","29.39","465.72","1,630.00","820.00","87.17","1.68"
"M&M","955.00","955.00","918.20","921.00","-33.45","-3.50","34.63","322.90","979.00","633.65","30.50","0.38"
"TATAMOTORS","531.45","534.20","501.30","509.95","-20.20","-3.81","471.98","2,420.39","536.70","152.20","193.92","5.82"

